year,position,wins,constructor
1958,1,6,Vanwall
1958,2,2,Ferrari
1958,3,2,Cooper
1958,4,0,BRM
1958,5,0,Maserati
1958,6,0,Team Lotus
1958,7,0,Porsche
1958,8,0,Connaught
1958,9,0,OSCA
1959,1,5,Cooper-Climax
1959,2,2,Ferrari
1959,3,1,BRM
1959,4,0,Team Lotus
1959,5,0,Aston Martin
1959,6,0,Cooper-Maserati
1959,7,0,Kurtis Kraft
1959,8,0,Porsche
1959,9,0,Maserati
1959,10,0,Cooper-Borgward
1959,11,0,Cooper-OSCA
1959,12,0,Tec-Mec
1959,13,0,Connaught
1959,14,0,JBW
1959,15,0,Vanwall
1959,16,0,Fry
1960,1,6,Cooper-Climax
1960,2,2,Team Lotus
1960,3,1,Ferrari
1960,4,0,BRM
1960,5,0,Cooper-Maserati
1960,6,0,Cooper-Castellotti
1960,7,0,Porsche
1960,8,0,Behra-Porsche
1960,9,0,Scarab
1960,10,0,Aston Martin
1960,11,0,Maserati
1960,12,0,JBW
1960,13,0,Vanwall
1961,1,5,Ferrari
1961,2,3,Lotus-Climax
1961,3,0,Porsche
1961,4,0,Cooper-Climax
1961,5,0,BRM
1961,6,0,Cooper-Maserati
1961,7,0,Gilby
1961,8,0,Lotus-Maserati
1961,9,0,De Tomaso-Alfa Romeo
1961,10,0,Emeryson
1961,11,0,De Tomaso-Osca
1961,12,0,JBW
1961,13,0,MBM
1962,1,4,BRM
1962,2,3,Lotus-Climax
1962,3,1,Cooper-Climax
1962,4,0,Lola
1962,5,1,Porsche
1962,6,0,Ferrari
1962,7,0,Brabham
1962,8,0,Lotus-BRM
1962,9,0,Emeryson
1962,10,0,ENB
1962,11,0,Cooper
1962,12,0,LDS
1962,13,0,Cooper-Alfa Romeo
1962,14,0,Team Lotus
1962,15,0,Gilby
1962,16,0,De Tomaso-Alfa Romeo
1962,17,0,De Tomaso-Osca
1962,18,0,De Tomaso
1962,19,0,Lotus-Borgward
1963,1,7,Lotus-Climax
1963,2,2,BRM
1963,3,0,Brabham
1963,4,1,Ferrari
1963,5,0,Cooper-Climax
1963,6,0,BRP
1963,7,0,Porsche
1963,8,0,Lotus-BRM
1963,9,0,Lola
1963,10,0,Stebro
1963,11,0,Scirocco
1963,12,0,ATS
1963,13,0,LDS
1963,14,0,Cooper-Maserati
1963,15,0,Lotus-Ford
1963,16,0,Alfa Romeo
1963,17,0,Gilby
1963,18,0,De Tomaso
1963,19,0,Team Lotus
1963,20,0,Lotus-Borgward
1963,21,0,De Tomaso-Ferrari
1963,22,0,Lotus-Maserati
1964,1,3,Ferrari
1964,2,2,BRM
1964,3,3,Lotus-Climax
1964,4,2,Brabham-Climax
1964,5,0,Cooper-Climax
1964,6,0,Brabham-BRM
1964,7,0,BRP
1964,8,0,Lotus-BRM
1964,9,0,Honda
1964,10,0,Scirocco
1964,11,0,Derrington
1964,12,0,Porsche
1964,13,0,Brabham-Ford
1965,1,6,Lotus-Climax
1965,2,3,BRM
1965,3,0,Brabham-Climax
1965,4,0,Ferrari
1965,5,0,Cooper-Climax
1965,6,1,Honda
1965,7,0,Brabham-BRM
1965,8,0,Lotus-BRM
1965,9,0,Brabham-Ford
1965,10,0,Alfa Romeo
1965,11,0,LDS-Alfa Romeo
1965,12,0,Cooper-Ford
1965,13,0,LDS-Climax
1965,14,0,Lotus-Ford
1965,15,0,RE
1965,16,0,Cooper-Maserati
1966,1,4,Brabham-Repco
1966,2,2,Ferrari
1966,3,1,Cooper-Maserati
1966,4,1,BRM
1966,5,1,Lotus-BRM
1966,6,0,Lotus-Climax
1966,7,0,Eagle-Climax
1966,8,0,Honda
1966,9,0,McLaren-Ford
1966,10,0,Brabham-Climax
1966,11,0,Brabham-BRM
1966,12,0,McLaren-Serenissima
1966,13,0,Cooper-Ferrari
1966,14,0,Eagle-Weslake
1966,15,0,Shannon
1967,1,4,Brabham-Repco
1967,2,4,Lotus-Ford
1967,3,1,Cooper-Maserati
1967,4,1,Honda
1967,5,0,Ferrari
1967,6,0,BRM
1967,7,1,Eagle-Weslake
1967,8,0,Lotus-BRM
1967,9,0,Cooper-Climax
1967,10,0,McLaren-BRM
1967,11,0,Brabham-Climax
1967,12,0,McLaren-Ford
1967,13,0,Brabham-Ford
1967,14,0,Lola
1967,15,0,LDS-Climax
1967,16,0,Lotus-Climax
1967,17,0,Eagle-Climax
1967,18,0,Matra
1967,19,0,Protos
1967,20,0,Cooper-ATS
1968,1,5,Lotus-Ford
1968,2,3,McLaren-Ford
1968,3,3,Matra-Ford
1968,4,1,Ferrari
1968,5,0,BRM
1968,6,0,Honda
1968,7,0,Cooper-BRM
1968,8,0,Brabham-Repco
1968,9,0,Matra
1968,10,0,McLaren-BRM
1968,11,0,Cooper-Maserati
1968,12,0,Eagle-Weslake
1968,13,0,Lola
1968,14,0,McLaren
1968,15,0,Brabham-Climax
1968,16,0,LDS
1968,17,0,Cooper-Climax
1969,1,6,Matra-Ford
1969,2,2,Brabham-Ford
1969,3,2,Lotus-Ford
1969,4,1,McLaren-Ford
1969,5,0,BRM
1969,6,0,Ferrari
1969,7,0,Cooper-Maserati
1969,8,0,Brabham-Repco
1969,9,0,BRM-Ford
1969,10,0,Brabham-Climax
1970,1,6,Team Lotus
1970,2,4,Ferrari
1970,3,1,March
1970,4,1,Brabham
1970,5,0,McLaren-Ford
1970,6,1,BRM
1970,7,0,Matra
1970,8,0,Surtees
1970,9,0,McLaren-Alfa Romeo
1970,10,0,De Tomaso
1970,11,0,Tyrrell
1970,12,0,Bellasi
1971,1,7,Tyrrell
1971,2,2,BRM
1971,3,2,Ferrari
1971,4,0,March-Ford
1971,5,0,Lotus-Ford
1971,6,0,McLaren
1971,7,0,Matra
1971,8,0,Surtees
1971,9,0,Brabham
1971,10,0,Lotus-Pratt &amp; Whitney
1971,11,0,March-Alfa Romeo
1971,12,0,Bellasi
1972,1,5,Team Lotus
1972,2,4,Tyrrell
1972,3,1,McLaren
1972,4,1,Ferrari
1972,5,0,Surtees
1972,6,0,March
1972,7,1,BRM
1972,8,0,Matra
1972,9,0,Brabham
1972,10,0,Tecno
1972,11,0,Connew
1972,12,0,Politoys
